DHT-ST3;;;
Kommentar einfügen;;;
Date and Time;Batch Age;I: TempK;I: Druck X
DDD MMM D HH:MM:SS JJJJ;h;°C;mbar
Fri Sep 30 12:21:30 2016;0,584722;24,9;2,92969
Fri Sep 30 12:21:35 2016;0,586111;24,9;2,7771
Fri Sep 30 12:21:40 2016;0,5875;25;2,16675
Fri Sep 30 12:21:45 2016;0,588889;24,9;3,38745
Fri Sep 30 12:21:50 2016;0,590278;25;2,92969
Fri Sep 30 12:21:55 2016;0,591667;25;2,47192
Fri Sep 30 12:22:00 2016;0,593056;24,9;4,91357
Fri Sep 30 12:22:05 2016;0,594444;24,9;3,84521
Fri Sep 30 12:22:10 2016;0,595833;25;3,23486
Fri Sep 30 12:22:15 2016;0,597222;25;1,40381
Fri Sep 30 12:22:20 2016;0,598611;25;3,23486
Fri Sep 30 12:22:25 2016;0,6;25;3,08228
