DHT_ST4;;;
Kommentar einf�gen;;;
Date and Time;Batch Age;I: TempK;I: Druck X
DDD MMM D HH:MM:SS JJJJ;h;ﾰC;mbar
Fri Sep 30 02:16:33 2016;0,7;27;1209,63
Fri Sep 30 02:16:38 2016;0,701389;24;1208,11
Fri Sep 30 02:16:43 2016;0,702778;24;1209,02
Fri Sep 30 02:16:48 2016;0,704167;25;1209,02
Fri Sep 30 02:16:53 2016;0,705556;27;1208,56
Fri Sep 30 02:16:58 2016;0,706944;24;1209,78
Fri Sep 30 02:17:03 2016;0,708333;27;1209,63
Fri Sep 30 02:17:08 2016;0,709722;27;1209,63
Fri Sep 30 02:17:13 2016;0,711111;24;1209,33
Fri Sep 30 02:17:18 2016;0,7125;26;1210,09
Fri Sep 30 02:17:23 2016;0,713889;23;1210,39
Fri Sep 30 02:17:28 2016;0,715278;23;1209,78
Fri Sep 30 02:17:33 2016;0,716667;23;1208,56
Fri Sep 30 02:17:38 2016;0,718056;23;1208,56
Fri Sep 30 02:17:43 2016;0,719444;25;1208,87
Fri Sep 30 02:17:48 2016;0,720833;23;1209,02
Fri Sep 30 02:17:53 2016;0,722222;26;1208,72
Fri Sep 30 02:17:58 2016;0,723611;26;1209,94
Fri Sep 30 02:18:03 2016;0,725;24;1209,94
Fri Sep 30 02:18:08 2016;0,726389;27;1208,56
Fri Sep 30 02:18:13 2016;0,727778;26;1209,48
Fri Sep 30 02:18:18 2016;0,729167;24;1209,63
Fri Sep 30 02:18:23 2016;0,730556;27;1209,63
Fri Sep 30 02:18:28 2016;0,731944;26;1208,72
Fri Sep 30 02:18:33 2016;0,733333;25;1208,41
Fri Sep 30 02:18:38 2016;0,734722;26;1208,72
Fri Sep 30 02:18:43 2016;0,736111;26;1209,94
Fri Sep 30 02:18:48 2016;0,7375;25;1212,53
Fri Sep 30 02:18:53 2016;0,738889;24;1211,77
Fri Sep 30 02:18:58 2016;0,740278;27;1210,85
Fri Sep 30 02:19:03 2016;0,741667;24;1210,55
Fri Sep 30 02:19:08 2016;0,743056;24;1210,7
Fri Sep 30 02:19:13 2016;0,744444;23;1208,56
Fri Sep 30 02:19:18 2016;0,745833;26;1208,56
Fri Sep 30 02:19:23 2016;0,747222;27;1208,72
Fri Sep 30 02:19:28 2016;0,748611;27;1209,33
Fri Sep 30 02:19:33 2016;0,75;23;1209,33
Fri Sep 30 02:19:38 2016;0,751389;26;1209,33
Fri Sep 30 02:19:43 2016;0,752778;26;1209,02
Fri Sep 30 02:19:48 2016;0,754167;24;1208,72
Fri Sep 30 02:19:53 2016;0,755556;25;1208,72
Fri Sep 30 02:19:58 2016;0,756944;27;1209,33
Fri Sep 30 02:20:03 2016;0,758333;25;1208,87
Fri Sep 30 02:20:08 2016;0,759722;26;1209,63
Fri Sep 30 02:20:13 2016;0,761111;23;1209,17
Fri Sep 30 02:20:18 2016;0,7625;23;1208,87
Fri Sep 30 02:20:23 2016;0,763889;27;1210,39
Fri Sep 30 02:20:28 2016;0,765278;26;1210,24
Fri Sep 30 02:20:33 2016;0,766667;26;1209,17
Fri Sep 30 02:20:38 2016;0,768056;23;1209,02
Fri Sep 30 02:20:43 2016;0,769444;26;1208,87
Fri Sep 30 02:20:48 2016;0,770833;25;1208,41
Fri Sep 30 02:20:53 2016;0,772222;25;1211,16
